transaction_id,account_id,merchant_id,timestamp,amount,currency,transaction_type,status,is_injected_anomaly,anomaly_type,customer_id,customer_country,customer_segment,typical_amount,preferred_hour,international_probability,merchant_category,country,online,signed_amount,effective_amount,customer_transaction_number,previous_timestamp,previous_amount,previous_merchant_category,time_since_previous_transaction,hours_since_previous_transaction,days_since_previous_transaction,transactions_previous_7d,average_amount_previous_30d,average_amount_previous_90d,amount_ratio_to_previous_30d,average_amount_all_previous
T0000547,A00002,M00049,2025-08-08 16:36:00,93.75,EUR,Purchase,Completed,False,none,C00002,United Kingdom,Student,18.65,19,0.403,Home,Spain,True,93.75,93.75,7,2025-07-25 01:52:00,66.44,Electronics,14 days 14:44:00,350.73333333333335,14.613888888888889,0,66.44,66.44,1.4110475617098135,44.846666666666664
T0000334,A00002,M00031,2025-10-11 20:40:00,51.28,GBP,Purchase,Completed,False,none,C00002,United Kingdom,Student,18.65,19,0.403,Electronics,United Kingdom,True,51.28,51.28,8,2025-08-08 16:36:00,93.75,Home,64 days 04:04:00,1540.0666666666666,64.16944444444444,0,,80.095,,51.832857142857144
T0000543,A00002,M00007,2025-11-28 15:32:00,8.29,GBP,Purchase,Completed,False,none,C00002,United Kingdom,Student,18.65,19,0.403,Groceries,United Kingdom,False,8.29,8.29,9,2025-10-11 20:40:00,51.28,Electronics,47 days 18:52:00,1146.8666666666666,47.786111111111104,0,,51.28,,51.76375
T0000262,A00002,M00007,2025-12-23 16:50:00,10.63,GBP,Purchase,Completed,False,none,C00002,United Kingdom,Student,18.65,19,0.403,Groceries,United Kingdom,False,10.63,10.63,10,2025-11-28 15:32:00,8.29,Groceries,25 days 01:18:00,601.3,25.054166666666664,0,8.29,29.785,1.28226779252111,46.93333333333333
T0000942,A00002,M00032,2025-12-29 12:01:00,42.05,USD,Purchase,Completed,False,none,C00002,United Kingdom,Student,18.65,19,0.403,Electronics,United States,True,42.05,42.05,11,2025-12-23 16:50:00,10.63,Groceries,5 days 19:11:00,139.18333333333334,5.799305555555556,1,10.63,23.400000000000002,3.9557855126999053,43.303
T0000980,A00004,M00080,2025-01-03 21:35:00,23.17,USD,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Health,United States,False,23.17,23.17,1,,,,,,,0,,,,
T0000386,A00004,M00046,2025-01-16 21:30:00,366.48,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Travel,Ireland,True,366.48,366.48,2,2025-01-03 21:35:00,23.17,Health,12 days 23:55:00,311.9166666666667,12.996527777777779,0,23.17,23.17,15.817004747518343,23.17
T0000812,A00004,M00070,2025-01-23 20:57:00,124.87,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Fashion,Ireland,True,124.87,124.87,3,2025-01-16 21:30:00,366.48,Travel,6 days 23:27:00,167.45,6.977083333333333,1,194.82500000000002,194.82500000000002,0.6409341716925445,194.82500000000002
T0000165,A00004,M00051,2025-02-03 21:05:00,275.38,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Home,Germany,True,275.38,275.38,4,2025-01-23 20:57:00,124.87,Fashion,11 days 00:08:00,264.1333333333333,11.005555555555555,0,245.675,171.50666666666666,1.120911773684746,171.50666666666666
T0000841,A00005,M00054,2025-02-07 20:27:00,71.24,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Home,Ireland,True,71.24,71.24,5,2025-02-03 21:05:00,275.38,Home,3 days 23:22:00,95.36666666666666,3.973611111111111,1,255.57666666666668,197.47500000000002,0.2787421908624939,197.47500000000002
T0000056,A00004,M00026,2025-02-17 11:33:00,334.27,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Electronics,France,True,334.27,334.27,6,2025-02-07 20:27:00,71.24,Home,9 days 15:06:00,231.1,9.629166666666666,0,157.16333333333333,172.228,2.12689558633269,172.228
T0000375,A00004,M00078,2025-02-21 17:21:00,27.23,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Health,Ireland,False,27.23,27.23,7,2025-02-17 11:33:00,334.27,Electronics,4 days 05:48:00,101.8,4.241666666666666,1,201.44,199.235,0.1351767275615568,199.235
T0000968,A00005,M00054,2025-03-02 18:51:00,133.89,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Home,Ireland,True,133.89,133.89,8,2025-02-21 17:21:00,27.23,Health,9 days 01:30:00,217.5,9.0625,0,177.03,174.66285714285715,0.7563124894085748,174.66285714285715
T0000489,A00004,M00043,2025-03-08 17:33:00,204.3,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Travel,Germany,True,204.3,204.3,9,2025-03-02 18:51:00,133.89,Home,5 days 22:42:00,142.7,5.945833333333333,1,141.6575,169.56625,1.442210966591956,169.56625
T0000080,A00004,M00046,2025-03-09 16:30:00,665.22,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Travel,Ireland,True,665.22,665.22,10,2025-03-08 17:33:00,204.3,Travel,0 days 22:57:00,22.95,0.9562499999999999,2,154.18599999999998,173.42555555555555,4.3143994915232255,173.42555555555555
T0000736,A00004,M00046,2025-03-15 21:47:00,269.32,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Travel,Ireland,True,269.32,269.32,11,2025-03-09 16:30:00,665.22,Travel,6 days 05:17:00,149.28333333333333,6.220138888888889,1,272.98199999999997,222.60500000000002,0.9865851960935154,222.60500000000002
T0000178,A00005,M00054,2025-03-17 12:48:00,490.88,EUR,Purchase,Declined,False,none,C00003,Ireland,Premium,109.45,16,0.433,Home,Ireland,True,490.88,0.0,12,2025-03-15 21:47:00,269.32,Travel,1 days 15:01:00,39.016666666666666,1.6256944444444443,1,272.37166666666667,226.85181818181817,1.8022432582928962,226.85181818181817
T0000589,A00004,M00072,2025-03-17 15:26:00,51.98,USD,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Fashion,United States,True,51.98,51.98,13,2025-03-17 12:48:00,490.88,Home,0 days 02:38:00,2.6333333333333333,0.10972222222222222,2,303.58714285714285,248.85416666666666,0.17121937217367572,248.85416666666666
T0000978,A00004,M00067,2025-03-20 21:28:00,116.26,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Fashion,Germany,True,116.26,116.26,14,2025-03-17 15:26:00,51.98,Fashion,3 days 06:02:00,78.03333333333333,3.2513888888888887,3,263.26,233.71,0.4416166527387374,233.71
T0000355,A00004,M00046,2025-03-22 11:07:00,449.89,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Travel,Ireland,True,449.89,449.89,15,2025-03-20 21:28:00,116.26,Fashion,1 days 13:39:00,37.65,1.5687499999999999,4,244.885,225.3207142857143,1.837148049084264,225.3207142857143
T0000754,A00004,M00046,2025-03-23 18:22:00,649.32,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Travel,Ireland,True,649.32,649.32,16,2025-03-22 11:07:00,449.89,Travel,1 days 07:15:00,31.25,1.3020833333333333,4,297.7175,240.292,2.180993727275018,240.292
T0000214,A00004,M00072,2025-04-01 18:05:00,83.59,USD,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Fashion,United States,True,83.59,83.59,17,2025-03-23 18:22:00,649.32,Travel,8 days 23:43:00,215.71666666666667,8.988194444444444,0,336.78444444444443,265.85625,0.24820029956516865,265.85625
T0000591,A00004,M00078,2025-04-07 19:33:00,47.73,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Health,Ireland,False,47.73,47.73,18,2025-04-01 18:05:00,83.59,Fashion,6 days 01:28:00,145.46666666666667,6.061111111111111,1,347.0575,269.6325,0.13752764311389323,255.13470588235293
T0000724,A00005,M00014,2025-04-10 20:57:00,183.67,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Restaurants,Ireland,False,183.67,183.67,19,2025-04-07 19:33:00,47.73,Health,3 days 01:24:00,73.4,3.0583333333333336,1,269.87125000000003,256.5794117647059,0.6805837969031527,243.61222222222224
T0000036,A00005,M00066,2025-04-15 18:46:00,126.22,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Fashion,France,True,126.22,126.22,20,2025-04-10 20:57:00,183.67,Restaurants,4 days 21:49:00,117.81666666666666,4.909027777777777,1,259.16499999999996,252.52888888888887,0.4870256400362704,240.45736842105262
T0000635,A00004,M00046,2025-04-15 19:36:00,215.55,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Travel,Ireland,True,215.55,215.55,21,2025-04-15 18:46:00,126.22,Fashion,0 days 00:50:00,0.8333333333333334,0.034722222222222224,2,244.39333333333332,245.88105263157894,0.881979868517963,234.7455
T0000105,A00005,M00054,2025-04-23 17:05:00,411.83,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Home,Ireland,True,411.83,411.83,22,2025-04-15 19:36:00,215.55,Travel,7 days 21:29:00,189.48333333333332,7.895138888888888,0,131.352,237.93736842105264,3.135315792679213,233.83142857142857
T0000733,A00004,M00052,2025-04-30 17:43:00,94.99,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Home,Italy,True,94.99,94.99,23,2025-04-23 17:05:00,411.83,Home,7 days 00:38:00,168.63333333333333,7.026388888888889,0,178.09833333333333,253.04052631578944,0.533357040586193,241.9222727272727
T0000419,A00004,M00069,2025-05-04 14:08:00,433.25,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Fashion,Portugal,True,433.25,433.25,24,2025-04-30 17:43:00,94.99,Home,3 days 20:25:00,92.41666666666667,3.8506944444444446,1,179.99833333333333,245.13799999999998,2.4069667311734366,235.53391304347824
T0000558,A00004,M00006,2025-05-06 15:30:00,199.52,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Groceries,Ireland,False,199.52,199.52,25,2025-05-04 14:08:00,433.25,Fashion,2 days 01:22:00,49.36666666666667,2.0569444444444445,2,216.17714285714285,253.0315,0.9229467896698476,243.7720833333333
T0000181,A00004,M00073,2025-05-18 19:22:00,39.84,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Health,Spain,False,39.84,39.84,26,2025-05-06 15:30:00,199.52,Groceries,12 days 03:52:00,291.8666666666667,12.161111111111111,0,284.8975,255.50736842105266,0.1398397669337218,242.002
T0000151,A00005,M00002,2025-05-21 14:11:00,228.26,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Groceries,France,False,228.26,228.26,27,2025-05-18 19:22:00,39.84,Health,2 days 18:49:00,66.81666666666666,2.7840277777777778,1,235.88600000000002,244.72400000000002,0.9676708240421219,234.22653846153847
T0000676,A00004,M00070,2025-05-24 17:58:00,72.48,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Fashion,Ireland,True,72.48,72.48,28,2025-05-21 14:11:00,228.26,Groceries,3 days 03:47:00,75.78333333333333,3.1576388888888887,2,199.17200000000003,254.77549999999997,0.3639065732131022,234.00555555555553
T0000941,A00004,M00078,2025-05-27 16:32:00,112.88,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Health,Ireland,False,112.88,112.88,29,2025-05-24 17:58:00,72.48,Fashion,2 days 22:34:00,70.56666666666666,2.9402777777777778,2,178.0566666666667,246.0947619047619,0.6339554823370835,228.23678571428573
T0000608,A00004,M00033,2025-05-31 14:54:00,102.48,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Sports,Spain,False,102.48,102.48,30,2025-05-27 16:32:00,112.88,Health,3 days 22:22:00,94.36666666666666,3.931944444444444,2,181.03833333333333,240.03954545454545,0.5660679598243467,224.2589655172414
T0000727,A00004,M00078,2025-06-08 14:10:00,60.05,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Health,Ireland,False,60.05,60.05,31,2025-05-31 14:54:00,102.48,Sports,7 days 23:16:00,191.26666666666668,7.969444444444445,0,111.18799999999999,218.99699999999999,0.5400762672230817,220.19966666666667
T0000656,A00004,M00076,2025-06-12 19:10:00,49.5,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Health,Italy,False,49.5,49.5,32,2025-06-08 14:10:00,60.05,Health,4 days 05:00:00,101.0,4.208333333333333,1,102.665,211.42809523809524,0.4821506842643549,215.03354838709677
T0000377,A00004,M00070,2025-06-23 15:20:00,175.54,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Fashion,Ireland,True,175.54,175.54,33,2025-06-12 19:10:00,49.5,Health,10 days 20:10:00,260.1666666666667,10.840277777777779,0,79.478,153.865,2.208661516394474,209.860625
T0000060,A00005,M00065,2025-07-02 13:29:00,228.17,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Fashion,Spain,True,228.17,228.17,34,2025-06-23 15:20:00,175.54,Fashion,8 days 22:09:00,214.15,8.922916666666667,0,95.03000000000002,159.611875,2.401031253288435,208.82060606060605
T0000098,A00004,M00077,2025-07-02 15:19:00,29.14,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Health,Portugal,False,29.14,29.14,35,2025-07-02 13:29:00,228.17,Fashion,0 days 01:50:00,1.8333333333333333,0.07638888888888888,1,128.315,163.64470588235295,0.22709737754744186,209.38970588235293
T0000238,A00005,M00054,2025-07-06 19:37:00,214.51,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Home,Ireland,True,214.51,214.51,36,2025-07-02 15:19:00,29.14,Health,4 days 04:18:00,100.3,4.179166666666666,2,108.47999999999999,162.55117647058822,1.977415191740413,204.23971428571429
T0000691,A00004,M00067,2025-07-10 16:01:00,315.69,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Fashion,Germany,True,315.69,315.69,37,2025-07-06 19:37:00,214.51,Home,3 days 20:24:00,92.4,3.85,1,139.37199999999999,164.36529411764707,2.265089114025773,204.52499999999998
T0000260,A00004,M00033,2025-07-13 19:26:00,155.82,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Sports,Spain,False,155.82,155.82,38,2025-07-10 16:01:00,315.69,Fashion,3 days 03:25:00,75.41666666666667,3.142361111111111,2,192.60999999999999,172.77222222222224,0.8089922641607393,207.52945945945947
T0000752,A00004,M00075,2025-07-17 11:42:00,87.27,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Health,Germany,False,87.27,87.27,39,2025-07-13 19:26:00,155.82,Sports,3 days 16:16:00,88.26666666666667,3.6777777777777776,2,186.47833333333332,171.99705882352941,0.4679900256508799,206.16868421052632
T0000618,A00005,M00070,2025-07-27 15:37:00,186.66,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Fashion,Ireland,True,186.66,186.66,40,2025-07-17 11:42:00,87.27,Health,10 days 03:55:00,243.91666666666666,10.163194444444445,0,171.76666666666665,152.90529411764706,1.0867067727537358,203.12
T0000874,A00004,M00054,2025-08-22 16:22:00,64.01,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Home,Ireland,True,64.01,64.01,41,2025-07-27 15:37:00,186.66,Fashion,26 days 00:45:00,624.75,26.03125,0,186.66,137.7069230769231,0.34292296153434054,202.70850000000002
T0000921,A00004,M00077,2025-09-03 17:30:00,26.1,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Health,Portugal,False,26.1,26.1,42,2025-08-22 16:22:00,64.01,Home,12 days 01:08:00,289.1333333333333,12.047222222222222,0,64.01,142.39636363636365,0.4077487892516794,199.32560975609758
T0000045,A00004,M00070,2025-09-12 12:02:00,268.22,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Fashion,Ireland,True,268.22,268.22,43,2025-09-03 17:30:00,26.1,Health,8 days 18:32:00,210.53333333333333,8.772222222222222,0,45.05500000000001,148.291,5.953168349794695,195.2011904761905
T0000091,A00004,M00054,2025-09-24 22:08:00,70.98,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Home,Ireland,True,70.98,70.98,44,2025-09-12 12:02:00,268.22,Fashion,12 days 10:06:00,298.1,12.420833333333334,0,147.16000000000003,157.559,0.48233215547703173,196.8993023255814
T0000414,A00004,M00070,2025-09-26 18:21:00,35.15,EUR,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Fashion,Ireland,True,35.15,35.15,45,2025-09-24 22:08:00,70.98,Home,1 days 20:13:00,44.21666666666667,1.8423611111111111,1,121.7666666666667,149.68818181818182,0.28866684916506974,194.0375
T0000692,A00004,M00079,2025-10-28 18:33:00,42.89,GBP,Purchase,Completed,False,none,C00003,Ireland,Premium,109.45,16,0.433,Health,United Kingdom,False,42.89,42.89,46,2025-09-26 18:21:00,35.15,Fashion,32 days 00:12:00,768.2,32.00833333333333,0,,92.89200000000001,,190.50666666666666
