transaction_id,account_id,merchant_id,timestamp,amount,currency,transaction_type,status,is_injected_anomaly,anomaly_type
T0000056,A00004,M00026,2025-02-17 11:33:00,334.27,EUR,Purchase,Completed,False,none
T0000057,A00015,M00078,2025-01-16 21:52:00,27.01,EUR,Purchase,Declined,False,none
T0000058,A00046,M00062,2025-02-13 14:59:00,20.71,EUR,Purchase,Completed,False,none
T0000059,A00101,M00019,2025-01-21 17:40:00,49.95,EUR,Purchase,Completed,False,none
T0000060,A00005,M00065,2025-07-02 13:29:00,228.17,EUR,Purchase,Completed,False,none
T0000061,A00023,M00023,2025-12-08 12:36:00,8.65,GBP,Purchase,Completed,False,none
T0000062,A00105,M00036,2025-05-10 15:19:00,74.9,EUR,Purchase,Completed,False,none
T0000063,A00103,M00027,2025-04-04 11:14:00,309.12,EUR,Purchase,Completed,False,none
T0000064,A00077,M00024,2025-03-27 19:32:00,31.72,USD,Purchase,Completed,False,none
T0000065,A00027,M00024,2025-12-25 18:49:00,28.66,USD,Purchase,Completed,False,none
T0000066,A00047,M00050,2025-12-17 17:03:00,17.88,EUR,Purchase,Completed,False,none
T0000067,A00023,M00015,2025-08-25 12:06:00,15.0,GBP,Purchase,Completed,False,none
T0000068,A00010,M00078,2025-06-19 18:10:00,19.16,EUR,Purchase,Completed,False,none
T0000069,A00043,M00047,2025-02-28 15:12:00,73.73,GBP,Purchase,Completed,False,none
T0000070,A00066,M00053,2025-12-06 17:08:00,233.73,EUR,Purchase,Completed,False,none
T0000071,A00042,M00049,2025-01-01 16:07:00,46.3,EUR,Refund,Completed,False,none
T0000072,A00069,M00059,2025-03-01 15:01:00,148.92,EUR,Purchase,Completed,False,none
T0000073,A00036,M00028,2025-09-05 11:20:00,75.15,EUR,Refund,Completed,False,none
T0000074,A00041,M00080,2025-03-08 11:43:00,11.35,USD,Purchase,Completed,False,none
T0000075,A00087,M00019,2025-02-09 09:09:00,48.76,EUR,Purchase,Completed,False,none
T0000076,A00102,M00065,2025-08-06 14:19:00,59.1,EUR,Purchase,Completed,False,none
T0000077,A00040,M00013,2025-01-10 19:58:00,2.97,EUR,Purchase,Completed,False,none
T0000078,A00066,M00037,2025-04-09 14:10:00,72.84,EUR,Refund,Completed,False,none
T0000079,A00034,M00044,2025-08-23 23:59:00,242.51,EUR,Purchase,Completed,False,none
T0000080,A00004,M00046,2025-03-09 16:30:00,665.22,EUR,Purchase,Completed,False,none
T0000081,A00083,M00076,2025-10-05 15:43:00,10.6,EUR,Purchase,Completed,False,none
T0000082,A00018,M00015,2025-02-04 16:19:00,19.63,GBP,Purchase,Completed,False,none
T0000083,A00048,M00031,2025-08-12 11:19:00,84.48,GBP,Purchase,Completed,False,none
T0000084,A00053,M00052,2025-01-28 16:23:00,49.49,EUR,Purchase,Completed,False,none
T0000085,A00019,M00054,2025-09-25 18:07:00,152.56,EUR,Purchase,Completed,False,none
T0000086,A00007,M00004,2025-10-02 11:18:00,14.52,EUR,Purchase,Completed,False,none
T0000087,A00041,M00024,2025-10-18 18:53:00,9.85,USD,Purchase,Completed,False,none
T0000088,A00112,M00016,2025-04-13 12:00:00,80.3,USD,Purchase,Completed,False,none
T0000089,A00069,M00054,2025-03-28 15:34:00,266.79,EUR,Purchase,Completed,False,none
T0000090,A00043,M00071,2025-12-24 08:41:00,89.3,GBP,Purchase,Completed,False,none
T0000091,A00004,M00054,2025-09-24 22:08:00,70.98,EUR,Purchase,Completed,False,none
T0000092,A00067,M00019,2025-03-08 10:06:00,7.64,EUR,Purchase,Completed,False,none
T0000093,A00006,M00052,2025-01-11 19:33:00,230.49,EUR,Purchase,Completed,False,none
T0000094,A00059,M00066,2025-05-10 14:13:00,82.63,EUR,Purchase,Completed,False,none
T0000095,A00084,M00066,2025-08-31 13:58:00,72.66,EUR,Purchase,Completed,False,none
T0000096,A00047,M00042,2025-05-17 20:11:00,37.69,EUR,Purchase,Completed,False,none
T0000097,A00037,M00012,2025-10-22 00:07:00,51.25,EUR,Purchase,Completed,False,none
T0000098,A00004,M00077,2025-07-02 15:19:00,29.14,EUR,Purchase,Completed,False,none
T0000099,A00001,M00073,2025-12-28 11:19:00,49.64,EUR,Purchase,Completed,False,none
T0000100,A00048,M00015,2025-11-14 05:09:00,157.27,GBP,Purchase,Completed,False,none
T0000101,A00101,M00051,2025-06-22 13:39:00,92.42,EUR,Purchase,Completed,False,none
T0000102,A00028,M00018,2025-11-01 13:20:00,28.26,EUR,Refund,Completed,False,none
T0000103,A00066,M00021,2025-06-13 16:31:00,5.87,EUR,Purchase,Completed,False,none
T0000104,A00078,M00041,2025-01-04 11:14:00,66.18,EUR,Purchase,Completed,False,none
T0000105,A00005,M00054,2025-04-23 17:05:00,411.83,EUR,Purchase,Completed,False,none
T0000106,A00013,M00037,2025-05-30 07:03:00,36.24,EUR,Purchase,Completed,False,none
T0000107,A00040,M00073,2025-12-23 19:03:00,6.59,EUR,Purchase,Completed,False,none
T0000108,A00076,M00067,2025-10-30 13:52:00,230.44,EUR,Purchase,Completed,False,none
T0000109,A00049,M00014,2025-02-23 05:15:00,76.38,EUR,Purchase,Completed,False,none
T0000110,A00083,M00072,2025-01-01 18:18:00,32.69,USD,Purchase,Completed,False,none
T0000111,A00098,M00056,2025-07-13 12:34:00,24.85,USD,Purchase,Completed,False,none
T0000112,A00084,M00058,2025-07-14 15:05:00,47.6,EUR,Purchase,Completed,False,none
T0000113,A00117,M00078,2025-09-26 23:36:00,18.32,EUR,Purchase,Completed,False,none
T0000114,A00084,M00066,2025-04-05 10:31:00,50.07,EUR,Purchase,Completed,False,none
T0000115,A00094,M00002,2025-10-24 16:47:00,76.86,EUR,Purchase,Completed,False,none
T0000116,A00092,M00040,2025-05-31 07:07:00,22.72,USD,Purchase,Completed,False,none
T0000117,A00083,M00068,2025-05-03 17:01:00,117.82,EUR,Purchase,Completed,False,none
T0000118,A00088,M00074,2025-06-03 13:46:00,313.42,EUR,Purchase,Completed,True,high_amount
T0000119,A00110,M00020,2025-12-11 13:22:00,48.78,EUR,Purchase,Completed,False,none
T0000120,A00053,M00012,2025-05-23 19:03:00,18.82,EUR,Purchase,Completed,False,none
T0000121,A00071,M00062,2025-07-24 14:33:00,98.8,EUR,Purchase,Completed,False,none
T0000122,A00057,M00007,2025-11-22 19:27:00,51.43,GBP,Purchase,Completed,False,none
T0000123,A00094,M00002,2025-01-07 13:57:00,76.17,EUR,Purchase,Completed,False,none
T0000124,A00048,M00057,2025-07-15 11:56:00,68.31,EUR,Purchase,Completed,False,none
T0000125,A00091,M00070,2025-09-16 22:32:00,72.77,EUR,Purchase,Completed,False,none
T0000126,A00088,M00066,2025-11-26 15:09:00,135.36,EUR,Purchase,Completed,False,none
T0000127,A00113,M00064,2025-01-23 21:44:00,116.75,USD,Purchase,Completed,False,none
T0000128,A00030,M00032,2025-09-23 20:12:00,310.21,USD,Purchase,Completed,False,none
T0000129,A00080,M00068,2025-10-20 22:50:00,92.08,EUR,Purchase,Completed,False,none
T0000130,A00084,M00042,2025-05-09 07:36:00,452.66,EUR,Purchase,Completed,False,none
T0000131,A00110,M00044,2025-09-30 16:21:00,88.12,EUR,Purchase,Completed,False,none
T0000132,A00105,M00076,2025-06-30 09:58:00,85.09,EUR,Purchase,Completed,False,none
T0000133,A00066,M00053,2025-08-29 18:30:00,54.81,EUR,Purchase,Completed,False,none
T0000134,A00067,M00066,2025-05-23 19:23:00,40.57,EUR,Purchase,Completed,False,none
T0000135,A00017,M00013,2025-03-06 15:11:00,91.73,EUR,Purchase,Completed,False,none
T0000136,A00114,M00074,2025-10-30 14:38:00,88.55,EUR,Purchase,Completed,False,none
T0000137,A00031,M00066,2025-03-21 20:16:00,15.52,EUR,Purchase,Completed,False,none
T0000138,A00083,M00068,2025-03-10 09:09:00,27.52,EUR,Purchase,Completed,False,none
T0000139,A00087,M00059,2025-11-20 10:07:00,79.84,EUR,Purchase,Completed,False,none
T0000140,A00050,M00032,2025-12-08 16:38:00,140.65,USD,Purchase,Completed,False,none
T0000141,A00023,M00047,2025-08-11 04:55:00,124.72,GBP,Purchase,Completed,False,none
T0000142,A00021,M00029,2025-07-31 12:15:00,1116.86,EUR,Purchase,Completed,False,none
T0000143,A00096,M00046,2025-05-12 19:13:00,265.86,EUR,Purchase,Completed,False,none
T0000144,A00055,M00064,2025-08-12 20:36:00,14.37,USD,Purchase,Completed,False,none
T0000145,A00006,M00054,2025-08-11 19:08:00,51.25,EUR,Purchase,Completed,False,none
T0000146,A00082,M00016,2025-07-08 22:05:00,22.42,USD,Purchase,Completed,False,none
T0000147,A00030,M00008,2025-08-28 20:38:00,27.1,USD,Purchase,Completed,False,none
T0000148,A00099,M00073,2025-07-22 20:31:00,78.23,EUR,Purchase,Completed,False,none
T0000149,A00038,M00066,2025-11-17 13:01:00,98.59,EUR,Purchase,Completed,False,none
T0000150,A00022,M00074,2025-09-01 19:14:00,29.95,EUR,Purchase,Completed,False,none
T0000151,A00005,M00002,2025-05-21 14:11:00,228.26,EUR,Purchase,Completed,False,none
T0000152,A00055,M00022,2025-08-28 21:40:00,7.19,EUR,Purchase,Completed,False,none
T0000153,A00050,M00067,2025-03-25 20:39:00,70.04,EUR,Purchase,Completed,False,none
T0000154,A00084,M00066,2025-03-20 16:44:00,97.57,EUR,Purchase,Completed,False,none
T0000155,A00051,M00009,2025-10-29 13:05:00,84.95,EUR,Purchase,Completed,False,none
T0000156,A00041,M00076,2025-08-01 07:50:00,31.83,EUR,Purchase,Completed,False,none
T0000157,A00032,M00030,2025-01-20 22:12:00,320.41,EUR,Purchase,Completed,False,none
T0000158,A00034,M00015,2025-05-10 00:59:00,70.67,GBP,Purchase,Completed,False,none
T0000159,A00108,M00015,2025-12-26 17:52:00,29.08,GBP,Purchase,Completed,False,none
T0000160,A00017,M00015,2025-08-21 14:27:00,111.61,GBP,Purchase,Completed,False,none
T0000161,A00116,M00005,2025-11-14 12:47:00,41.24,EUR,Purchase,Completed,False,none
T0000162,A00040,M00077,2025-07-19 16:40:00,18.57,EUR,Purchase,Completed,False,none
T0000163,A00006,M00060,2025-01-16 20:46:00,20.88,EUR,Purchase,Completed,False,none
T0000164,A00030,M00072,2025-03-07 23:01:00,47.32,USD,Purchase,Completed,False,none
T0000165,A00004,M00051,2025-02-03 21:05:00,275.38,EUR,Purchase,Completed,False,none
T0000166,A00087,M00019,2025-09-26 14:54:00,8.8,EUR,Purchase,Completed,False,none
T0000167,A00055,M00022,2025-10-04 13:46:00,14.11,EUR,Purchase,Completed,False,none
T0000168,A00041,M00080,2025-06-16 11:36:00,28.23,USD,Purchase,Completed,False,none
T0000169,A00076,M00043,2025-09-22 23:18:00,292.61,EUR,Purchase,Declined,False,none
T0000170,A00071,M00054,2025-07-21 08:25:00,116.84,EUR,Purchase,Completed,False,none
T0000171,A00112,M00072,2025-09-28 16:23:00,40.61,USD,Refund,Completed,False,none
T0000172,A00113,M00059,2025-09-03 23:26:00,39.96,EUR,Purchase,Completed,False,none
T0000173,A00078,M00019,2025-06-16 18:37:00,17.0,EUR,Purchase,Completed,False,none
T0000174,A00091,M00062,2025-08-27 03:45:00,32.42,EUR,Purchase,Completed,False,none
T0000175,A00087,M00019,2025-04-27 10:23:00,25.22,EUR,Purchase,Completed,False,none
T0000176,A00054,M00008,2025-10-01 12:50:00,15.76,USD,Purchase,Completed,False,none
T0000177,A00080,M00044,2025-11-30 23:05:00,129.4,EUR,Purchase,Completed,False,none
T0000178,A00005,M00054,2025-03-17 12:48:00,490.88,EUR,Purchase,Declined,False,none
T0000179,A00084,M00066,2025-09-01 11:40:00,55.27,EUR,Purchase,Completed,False,none
T0000180,A00113,M00003,2025-02-10 19:30:00,56.28,EUR,Purchase,Completed,False,none
T0000181,A00004,M00073,2025-05-18 19:22:00,39.84,EUR,Purchase,Completed,False,none
T0000182,A00093,M00077,2025-09-02 18:22:00,38.11,EUR,Purchase,Completed,False,none
T0000183,A00109,M00023,2025-04-12 15:21:00,10.6,GBP,Purchase,Completed,False,none
T0000184,A00027,M00076,2025-03-28 17:56:00,12.64,EUR,Purchase,Completed,False,none
T0000185,A00058,M00055,2025-05-21 21:01:00,63.72,GBP,Purchase,Completed,False,none
T0000186,A00107,M00039,2025-02-11 04:38:00,85.02,GBP,Refund,Completed,False,none
T0000187,A00113,M00059,2025-08-17 21:59:00,96.21,EUR,Purchase,Completed,False,none
T0000188,A00010,M00078,2025-02-17 16:32:00,13.64,EUR,Purchase,Completed,False,none
T0000189,A00041,M00080,2025-05-02 06:38:00,11.65,USD,Purchase,Completed,False,none
T0000190,A00079,M00041,2025-04-25 16:35:00,86.3,EUR,Purchase,Completed,False,none
T0000191,A00027,M00059,2025-12-20 17:30:00,41.51,EUR,Purchase,Completed,False,none
T0000192,A00040,M00037,2025-12-29 17:37:00,32.13,EUR,Purchase,Completed,False,none
T0000193,A00001,M00001,2025-01-29 10:54:00,28.29,EUR,Purchase,Completed,False,none
T0000194,A00013,M00005,2025-02-27 17:42:00,39.57,EUR,Refund,Completed,False,none
T0000195,A00063,M00028,2025-09-25 21:50:00,828.91,EUR,Purchase,Completed,False,none
T0000196,A00074,M00072,2025-04-19 08:33:00,103.37,USD,Purchase,Completed,False,none
T0000197,A00074,M00072,2025-08-24 04:46:00,52.9,USD,Purchase,Completed,False,none
T0000198,A00086,M00068,2025-12-03 15:52:00,94.8,EUR,Purchase,Completed,False,none
T0000199,A00046,M00062,2025-03-01 17:12:00,30.85,EUR,Purchase,Completed,False,none
T0000200,A00033,M00014,2025-12-18 12:51:00,67.23,EUR,Purchase,Completed,False,none
T0000201,A00001,M00017,2025-01-20 12:41:00,27.45,EUR,Purchase,Completed,False,none
T0000202,A00023,M00039,2025-03-25 16:26:00,13.48,GBP,Purchase,Completed,False,none
T0000203,A00038,M00034,2025-07-05 07:46:00,77.61,EUR,Refund,Completed,False,none
T0000204,A00019,M00062,2025-11-18 16:10:00,47.68,EUR,Purchase,Completed,False,none
T0000205,A00001,M00033,2025-07-22 10:41:00,76.71,EUR,Purchase,Completed,False,none
T0000206,A00015,M00070,2025-02-20 17:34:00,107.16,EUR,Purchase,Completed,False,none
T0000207,A00076,M00059,2025-04-01 15:53:00,139.31,EUR,Purchase,Completed,False,none
T0000208,A00071,M00070,2025-10-05 09:37:00,93.97,EUR,Purchase,Completed,False,none
T0000209,A00110,M00004,2025-07-24 18:31:00,75.72,EUR,Purchase,Completed,False,none
T0000210,A00088,M00066,2025-01-05 13:31:00,22.28,EUR,Purchase,Completed,False,none
T0000211,A00065,M00036,2025-07-03 16:33:00,29.41,EUR,Purchase,Completed,False,none
T0000212,A00011,M00002,2025-05-29 13:53:00,3.37,EUR,Purchase,Completed,False,none
T0000213,A00063,M00032,2025-01-01 13:47:00,358.23,USD,Purchase,Completed,False,none
T0000214,A00004,M00072,2025-04-01 18:05:00,83.59,USD,Purchase,Completed,False,none
T0000215,A00048,M00055,2025-12-08 12:31:00,116.42,GBP,Purchase,Completed,False,none
T0000216,A00043,M00047,2025-09-14 13:17:00,46.12,GBP,Purchase,Completed,False,none
T0000217,A00048,M00039,2025-01-26 09:09:00,45.05,GBP,Purchase,Completed,False,none
T0000218,A00034,M00004,2025-01-06 20:51:00,59.91,EUR,Purchase,Completed,False,none
T0000219,A00078,M00030,2025-05-07 20:51:00,79.05,EUR,Purchase,Completed,False,none
T0000220,A00093,M00012,2025-06-19 11:56:00,79.22,EUR,Purchase,Completed,False,none
T0000221,A00085,M00022,2025-06-15 17:23:00,9.87,EUR,Purchase,Completed,False,none
T0000222,A00071,M00070,2025-09-12 15:25:00,109.04,EUR,Purchase,Completed,False,none
T0000223,A00059,M00066,2025-03-05 16:46:00,108.42,EUR,Purchase,Completed,False,none
T0000224,A00002,M00018,2025-01-18 17:11:00,12.6,EUR,Purchase,Completed,False,none
T0000225,A00083,M00020,2025-09-03 13:03:00,12.79,EUR,Purchase,Completed,False,none
T0000226,A00059,M00026,2025-11-24 12:25:00,104.06,EUR,Purchase,Completed,False,none
T0000227,A00033,M00047,2025-03-03 13:37:00,207.34,GBP,Purchase,Completed,False,none
T0000228,A00040,M00013,2025-05-12 16:27:00,13.77,EUR,Purchase,Completed,False,none
T0000229,A00110,M00044,2025-08-17 18:12:00,110.76,EUR,Purchase,Completed,False,none
T0000230,A00071,M00070,2025-03-02 13:31:00,100.67,EUR,Purchase,Completed,False,none
T0000231,A00053,M00052,2025-11-10 14:56:00,73.18,EUR,Purchase,Completed,False,none
T0000232,A00070,M00024,2025-03-24 11:16:00,26.23,USD,Refund,Completed,False,none
T0000233,A00046,M00046,2025-07-14 18:24:00,104.69,EUR,Purchase,Completed,False,none
T0000234,A00051,M00057,2025-05-04 19:18:00,25.04,EUR,Purchase,Completed,False,none
T0000235,A00035,M00045,2025-09-01 16:17:00,198.07,EUR,Purchase,Completed,False,none
T0000236,A00049,M00016,2025-03-14 11:39:00,57.44,USD,Purchase,Completed,False,none
T0000237,A00078,M00041,2025-02-05 17:22:00,62.37,EUR,Purchase,Completed,False,none
T0000238,A00005,M00054,2025-07-06 19:37:00,214.51,EUR,Purchase,Completed,False,none
T0000239,A00087,M00019,2025-11-12 08:01:00,68.65,EUR,Purchase,Completed,False,none
T0000240,A00034,M00007,2025-08-20 22:39:00,64.19,GBP,Refund,Completed,False,none
T0000241,A00078,M00027,2025-10-03 16:06:00,110.76,EUR,Purchase,Completed,False,none
T0000242,A00072,M00011,2025-06-08 10:22:00,28.76,EUR,Purchase,Completed,False,none
T0000243,A00074,M00056,2025-02-21 09:52:00,112.02,USD,Refund,Completed,False,none
T0000244,A00069,M00042,2025-06-05 19:20:00,571.0,EUR,Purchase,Completed,False,none
T0000245,A00113,M00059,2025-12-27 20:41:00,56.11,EUR,Purchase,Completed,False,none
T0000246,A00055,M00064,2025-10-13 16:21:00,19.5,USD,Purchase,Completed,False,none
T0000247,A00083,M00077,2025-09-14 13:54:00,8.38,EUR,Purchase,Completed,False,none
T0000248,A00080,M00012,2025-04-20 22:57:00,38.15,EUR,Purchase,Completed,False,none
T0000249,A00027,M00006,2025-08-07 19:54:00,54.42,EUR,Purchase,Completed,False,none
T0000250,A00034,M00047,2025-08-16 19:23:00,221.38,GBP,Purchase,Completed,False,none
T0000251,A00047,M00050,2025-08-27 15:19:00,39.52,EUR,Purchase,Completed,False,none
T0000252,A00034,M00055,2025-11-22 17:36:00,266.24,GBP,Purchase,Completed,False,none
T0000253,A00042,M00009,2025-09-06 11:49:00,11.92,EUR,Purchase,Completed,False,none
T0000254,A00043,M00023,2025-03-22 09:31:00,36.79,GBP,Purchase,Completed,False,none
T0000255,A00068,M00015,2025-03-22 13:44:00,9.21,GBP,Purchase,Completed,False,none
T0000256,A00026,M00053,2025-08-15 21:52:00,179.03,EUR,Purchase,Completed,False,none
T0000257,A00088,M00068,2025-11-13 11:45:00,70.97,EUR,Purchase,Completed,False,none
T0000258,A00049,M00030,2025-12-13 10:22:00,119.88,EUR,Purchase,Completed,False,none
T0000259,A00080,M00033,2025-08-11 02:14:00,138.22,EUR,Purchase,Completed,False,none
T0000260,A00004,M00033,2025-07-13 19:26:00,155.82,EUR,Purchase,Completed,False,none
T0000261,A00051,M00049,2025-10-25 14:34:00,85.6,EUR,Purchase,Completed,False,none
T0000262,A00002,M00007,2025-12-23 16:50:00,10.63,GBP,Purchase,Completed,False,none
T0000263,A00076,M00064,2025-01-11 13:18:00,199.76,USD,Purchase,Completed,False,none
T0000264,A00041,M00080,2025-04-24 09:09:00,26.19,USD,Purchase,Completed,False,none
T0000265,A00112,M00016,2025-05-02 14:18:00,20.48,USD,Purchase,Completed,False,none
T0000266,A00040,M00037,2025-07-25 17:35:00,16.47,EUR,Purchase,Completed,False,none
T0000267,A00063,M00039,2025-04-18 16:13:00,183.22,GBP,Purchase,Completed,False,none
T0000268,A00031,M00068,2025-04-24 18:23:00,22.15,EUR,Purchase,Completed,False,none
T0000269,A00070,M00016,2025-01-09 10:15:00,152.32,USD,Purchase,Completed,False,none
T0000270,A00051,M00025,2025-01-02 10:59:00,246.42,EUR,Purchase,Completed,False,none
T0000271,A00042,M00049,2025-06-14 09:30:00,43.31,EUR,Purchase,Completed,False,none
T0000272,A00022,M00026,2025-12-31 19:43:00,371.96,EUR,Refund,Completed,False,none
T0000273,A00008,M00015,2025-04-18 16:31:00,46.02,GBP,Purchase,Completed,False,none
T0000274,A00009,M00025,2025-03-29 00:00:00,245.53,EUR,Purchase,Completed,False,none
T0000275,A00119,M00016,2025-04-07 15:15:00,6.95,USD,Purchase,Completed,False,none
T0000276,A00046,M00054,2025-12-22 12:50:00,75.79,EUR,Purchase,Completed,False,none
T0000277,A00001,M00061,2025-08-31 11:30:00,73.63,EUR,Purchase,Completed,False,none
T0000278,A00112,M00016,2025-08-27 18:42:00,702.78,USD,Purchase,Completed,True,high_amount
T0000279,A00001,M00057,2025-03-11 10:45:00,27.02,EUR,Refund,Completed,False,none
T0000280,A00047,M00043,2025-11-26 12:33:00,42.74,EUR,Purchase,Completed,False,none
T0000281,A00082,M00038,2025-03-13 00:34:00,67.17,EUR,Purchase,Completed,False,none
T0000282,A00107,M00015,2025-12-20 13:14:00,29.76,GBP,Purchase,Completed,False,none
T0000283,A00080,M00052,2025-12-14 21:14:00,69.57,EUR,Purchase,Completed,False,none
T0000284,A00051,M00073,2025-07-27 15:08:00,70.18,EUR,Purchase,Completed,False,none
T0000285,A00114,M00034,2025-11-13 16:17:00,73.29,EUR,Purchase,Completed,False,none
T0000286,A00004,M00006,2025-12-31 21:37:00,25.99,EUR,Purchase,Completed,False,none
T0000287,A00116,M00014,2025-07-31 13:55:00,10.51,EUR,Purchase,Completed,False,none
T0000288,A00093,M00009,2025-10-08 14:26:00,63.6,EUR,Purchase,Completed,False,none
T0000289,A00109,M00055,2025-08-04 17:36:00,38.85,GBP,Purchase,Completed,False,none
T0000290,A00031,M00023,2025-07-11 16:51:00,8.29,GBP,Purchase,Completed,False,none
T0000291,A00012,M00073,2025-05-03 16:40:00,5.29,EUR,Refund,Completed,False,none
T0000292,A00076,M00059,2025-08-28 13:15:00,264.03,EUR,Purchase,Completed,False,none
T0000293,A00057,M00028,2025-04-08 13:16:00,899.31,EUR,Purchase,Completed,False,none
T0000294,A00057,M00080,2025-03-12 16:38:00,30.55,USD,Purchase,Completed,False,none
T0000295,A00107,M00011,2025-04-11 17:17:00,48.28,EUR,Purchase,Completed,False,none
T0000296,A00070,M00063,2025-01-05 04:14:00,32.74,GBP,Purchase,Completed,False,none
